loan_id,application_date,settlement_date,state,postcode_region,property_type,occupancy_type,loan_purpose,first_home_buyer,channel,loan_amount,property_value,deposit_amount,lvr_pct,interest_rate_pct,term_years,repayment_type,monthly_repayment,application_status,days_to_decision,credit_score_band,debt_to_income_ratio,arrears_days,hardship_flag,annual_household_income,current_balance
HL-00001,2025-01-17,2025-03-12,WA,Metro,House,Owner Occupied,Purchase,false,Broker,418000.00,568000.00,150000.00,73.59,5.410,30,Principal and Interest,2349.81,Active,9,Good,5.62,0,false,75000.00,409653.45
HL-00002,2025-01-26,,VIC,Inner Regional,Apartment,Owner Occupied,Purchase,false,Digital,479000.00,626000.00,147000.00,76.50,6.331,30,Principal and Interest,2974.57,Declined,1,Good,6.67,0,false,75000.00,0.00
HL-00003,2025-01-20,,ACT,Metro,House,Owner Occupied,Refinance,false,Broker,724000.00,1106000.00,382000.00,65.48,5.354,30,Principal and Interest,4044.72,Approved,10,Good,6.93,0,false,104500.00,0.00
HL-00004,2025-01-22,2025-03-15,NSW,Metro,Apartment,Owner Occupied,Refinance,false,Direct,659000.00,998000.00,339000.00,66.03,5.608,30,Principal and Interest,3786.51,Active,4,Good,4.52,0,false,145800.00,616392.77
HL-00005,2025-01-02,,QLD,Metro,House,Investment,Purchase,true,Broker,633000.00,756000.00,123000.00,83.71,6.177,30,Principal and Interest,3867.49,Approved,13,Fair,4.90,0,false,129200.00,0.00
HL-00006,2025-01-11,,NSW,Metro,Apartment,Investment,Purchase,false,Direct,752000.00,1126000.00,374000.00,66.80,6.118,25,Principal and Interest,4899.53,Approved,6,Fair,6.58,0,false,114300.00,0.00
HL-00007,2025-01-30,,VIC,Inner Regional,Apartment,Owner Occupied,Purchase,true,Digital,610000.00,659000.00,49000.00,92.56,6.517,30,Principal and Interest,3862.44,Declined,2,Fair,5.18,0,false,117800.00,0.00
HL-00008,2025-01-15,2025-02-07,WA,Metro,Apartment,Owner Occupied,Purchase,true,Direct,706000.00,921000.00,215000.00,76.63,6.621,30,Principal and Interest,4518.73,Active,6,Good,5.62,0,false,125600.00,608298.15
HL-00009,2025-01-26,2025-03-12,VIC,Metro,Apartment,Owner Occupied,Purchase,false,Digital,401000.00,610000.00,209000.00,65.66,6.628,30,Principal and Interest,2568.44,Active,3,Good,3.06,0,false,131000.00,393867.40
HL-00010,2025-01-16,,VIC,Inner Regional,Apartment,Investment,Refinance,true,Broker,1049000.00,1149000.00,100000.00,91.27,6.647,30,Principal and Interest,6732.13,Withdrawn,7,Very Good,6.29,0,false,166800.00,0.00
HL-00011,2025-01-31,2025-03-25,NSW,Metro,House,Investment,Purchase,false,Broker,392000.00,784000.00,392000.00,50.00,5.834,25,Principal and Interest,2486.03,Active,8,Excellent,4.28,0,false,91600.00,346684.58
HL-00012,2025-01-05,2025-02-07,VIC,Outer Regional,Townhouse,Investment,Refinance,false,Digital,536000.00,687000.00,151000.00,77.95,5.740,30,Interest Only,2563.87,Active,9,Very Good,2.81,0,false,190700.00,523451.76
HL-00013,2025-01-17,,NSW,Metro,House,Owner Occupied,Purchase,false,Broker,484000.00,658000.00,174000.00,73.60,5.609,30,Interest Only,2262.30,Declined,6,Good,2.11,0,false,229400.00,0.00
HL-00014,2025-01-10,2025-03-01,NSW,Inner Regional,Apartment,Owner Occupied,Purchase,false,Broker,736000.00,1107000.00,371000.00,66.50,5.495,30,Principal and Interest,4176.62,Active,6,Excellent,4.51,0,false,163200.00,714898.11
HL-00015,2025-01-26,,VIC,Metro,Apartment,Owner Occupied,Purchase,false,Digital,617000.00,696000.00,79000.00,88.62,6.105,25,Principal and Interest,4015.04,Declined,2,Good,6.22,0,false,99200.00,0.00
HL-00016,2025-01-12,2025-03-03,VIC,Inner Regional,Townhouse,Owner Occupied,Refinance,false,Broker,650000.00,846000.00,196000.00,76.86,5.903,30,Principal and Interest,3856.64,Active,10,Very Good,4.55,0,false,142900.00,577840.41
HL-00017,2025-01-14,2025-02-21,VIC,Inner Regional,House,Investment,Refinance,false,Direct,272000.00,545000.00,273000.00,50.00,6.547,30,Interest Only,1483.99,Active,8,Good,6.74,0,false,75000.00,234239.36
HL-00018,2025-01-20,2025-03-07,NSW,Metro,House,Owner Occupied,Purchase,false,Digital,862000.00,1435000.00,573000.00,60.04,6.584,35,Interest Only,4729.51,Active,4,Excellent,4.92,0,false,175200.00,781321.74
HL-00019,2025-01-08,2025-02-22,QLD,Outer Regional,Apartment,Investment,Purchase,true,Direct,901000.00,1097000.00,196000.00,82.16,5.844,30,Principal and Interest,5311.92,Active,5,Very Good,3.58,0,false,251700.00,875048.63
HL-00020,2025-01-29,2025-02-20,WA,Metro,Townhouse,Owner Occupied,Purchase,false,Broker,689000.00,1079000.00,390000.00,63.81,5.521,30,Principal and Interest,3921.15,Active,8,Excellent,3.96,43,true,174000.00,630136.86
HL-00021,2025-02-17,2025-03-17,VIC,Metro,House,Owner Occupied,Purchase,true,Direct,1000000.00,1114000.00,114000.00,89.79,6.635,30,Principal and Interest,6409.72,Active,6,Excellent,4.69,0,false,213200.00,937948.40
HL-00022,2025-02-20,2025-03-23,NSW,Metro,Apartment,Owner Occupied,Purchase,true,Direct,537000.00,627000.00,90000.00,85.68,6.166,25,Principal and Interest,3514.59,Active,3,Excellent,6.16,0,false,87200.00,470106.41
HL-00023,2025-02-17,2025-03-15,NSW,Metro,House,Owner Occupied,Refinance,false,Direct,907000.00,1122000.00,215000.00,80.85,5.351,30,Interest Only,4044.46,Active,6,Excellent,6.78,0,false,133800.00,780339.62
HL-00024,2025-02-06,2025-03-09,TAS,Outer Regional,House,Owner Occupied,Purchase,false,Direct,463000.00,666000.00,203000.00,69.47,6.620,30,Principal and Interest,2963.11,Active,8,Very Good,4.28,0,false,108200.00,456054.24
HL-00025,2025-02-27,,QLD,Metro,House,Owner Occupied,Purchase,true,Direct,693000.00,773000.00,80000.00,89.64,5.427,25,Principal and Interest,4225.47,Approved,4,Very Good,7.10,0,false,97600.00,0.00
HL-00026,2025-02-04,,QLD,Metro,House,Investment,Purchase,false,Broker,846000.00,1062000.00,216000.00,79.67,5.563,25,Principal and Interest,5227.06,Approved,12,Very Good,6.26,0,false,135100.00,0.00
HL-00027,2025-02-20,2025-04-13,NSW,Outer Regional,Apartment,Investment,Purchase,false,Broker,818000.00,1358000.00,540000.00,60.23,6.601,25,Principal and Interest,5574.93,Active,12,Good,5.70,0,false,143500.00,755775.82
HL-00028,2025-02-17,,QLD,Metro,Apartment,Investment,Purchase,false,Direct,385000.00,520000.00,135000.00,74.09,6.375,30,Principal and Interest,2401.90,Declined,5,Very Good,6.34,0,false,75000.00,0.00
HL-00029,2025-02-24,2025-04-05,NSW,Metro,House,Owner Occupied,Purchase,true,Broker,1286000.00,1437000.00,151000.00,89.52,5.459,30,Interest Only,5850.23,Active,11,Good,4.41,0,false,291600.00,1220610.06
HL-00030,2025-02-09,,NSW,Metro,Apartment,Owner Occupied,Purchase,false,Broker,923000.00,1037000.00,114000.00,89.02,5.741,30,Principal and Interest,5381.10,Approved,6,Very Good,3.47,0,false,266000.00,0.00
HL-00031,2025-02-16,2025-04-09,VIC,Inner Regional,Apartment,Owner Occupied,Purchase,true,Broker,617000.00,651000.00,34000.00,94.77,5.727,30,Interest Only,2944.63,Active,9,Good,4.67,0,false,132100.00,581663.47
